air	built environment	host-associated	human-associated	human-gut	microbial mat|biofilm	miscellaneous	plant-associated	sediment	soil	wastewater|sludge	water
3.286	12.61	0.059	9.597	0	0.253	0.001	10.433	1.972	0.523	0.458	0.014
4.252	14.087	0.234		0.001	0.318	0.001	10.948	3.392	0.808	1.742	0.085
4.972	14.382	0.325		0.001	1.157	0.057	12.619	6.552	1.513	2.665	0.1
8.978		0.35		0.126	1.703	0.057	13.266	6.714	1.712	4.07	0.14
13.45		0.47		0.298	2.623	0.076	13.401	7.539	1.804	4.217	0.224
13.45		0.592		0.98	3.267	0.076	13.401	8.1	1.914	7.392	0.232
13.45		0.647		0.998	3.862	0.331	13.401	8.101	2.675	7.437	0.269
13.459		0.698		2.721	4.91	0.331	13.401	8.847	2.728	7.492	0.326
13.506		1.127		3.118	5.009	1.025	13.41	9.136	3.319	7.732	0.33
13.506		1.354		3.594	5.949	1.293	13.506	9.16	5.092	7.924	0.35
13.506		1.528		4.012	6.182	2.862	13.506	9.243	5.096	8.796	0.355
13.515		1.79			6.779	3.368	13.506	10.548	5.386	8.971	0.455
13.515		2.328			7.306	4.289	13.506	11.274	6.625	9.41	0.465
13.515		3.495			9.16	4.291	13.506	12.369	6.68	10.165	0.467
13.515		5.847			9.193	4.363	13.506	13.178	6.762	10.454	0.483
13.515		6.167			9.276	4.967	13.506	13.185	6.878	11.026	0.487
13.667		6.646			9.558	4.994	13.506	13.372	6.95	11.276	0.498
13.676		6.922			9.86	5.625	13.562	13.401	7.088	11.654	0.542
		7.945			9.882	5.98	13.562	13.401	7.297	11.709	0.564
		8.527			9.932	11.738	13.562	13.401	7.36	11.718	0.591
		8.613			10.165	12.636	13.667	13.41	7.546	11.726	0.595
		9.269			10.173	15.234	13.676	13.41	7.694	11.777	0.633
		9.497			10.3	15.234	14.033	13.477	8	11.836	0.668
		9.56			10.383	15.383	15.381	13.495	8.149	12.128	0.686
		9.645			10.444	15.383		13.506	8.163	12.225	0.716
		9.866			10.533			13.515	8.296	12.225	0.742
		9.867			10.661			13.533	8.435	12.265	0.8
		9.886			10.755			13.533	8.895	12.321	0.804
		10.241			10.855			13.571	8.9	12.343	0.821
		10.387			10.896			13.667	9.077	12.396	0.828
		10.474			10.914			13.676	9.167	12.443	0.83
		10.518			11.006			13.83	9.323	12.504	0.909
		10.569			11.018			14.579	9.403	12.513	0.913
		10.6			11.156			15.416	9.593	12.636	0.929
		10.694			11.549			15.767	9.618	12.734	0.951
		10.72			11.695			15.997	9.669	12.8	0.987
		10.737			11.729			16.207	9.675	12.857	1.002
		10.771			11.87			16.394	9.754	12.88	1.022
		10.82			12.014				9.784	12.884	1.057
		10.835			12.248				9.784	12.906	1.064
		10.95			12.327				9.784	12.929	1.096
		10.984			12.333				9.784	12.929	1.113
		11.03			12.544				9.784	12.933	1.201
		11.055			12.812				9.849	12.943	1.286
		11.055			13.039				9.9	12.958	1.343
		11.055			13.455				9.9	13.101	1.356
		11.055			13.57				9.949	13.15	1.372
		11.086			13.676				9.962	13.151	1.435
		11.086			13.697				9.967	13.2	1.453
		11.104			14.416				10.005	13.219	1.49
		11.115			14.892				10.26	13.229	1.515
		11.238			14.954				10.386	13.229	1.517
		11.257			15.021				10.466	13.229	1.528
		11.257			15.057				10.466	13.229	1.594
		11.343			15.177				10.466	13.229	1.632
		11.343			15.234				10.571	13.229	1.838
		11.343			15.234				10.571	13.229	1.877
		11.343			15.234				10.631	13.229	1.882
		11.343			15.236				10.657	13.229	1.891
		11.343			15.236				10.657	13.256	1.891
		11.343			15.236				10.657	13.269	1.91
		11.343			15.355				10.657	13.285	1.989
		11.396			15.412				10.657	13.285	2.068
		11.896			15.419				10.657	13.285	2.068
		12.425			15.5				10.657	13.285	2.074
		12.448			15.564				10.657	13.285	2.084
		15.217			16.34				10.657	13.285	2.343
		15.435							10.657	13.285	2.377
									10.696	13.285	2.379
									10.713	13.285	2.465
									10.741	13.285	2.517
									10.762	13.285	2.61
									10.762	13.285	2.63
									10.773	13.285	2.631
									10.773	13.285	2.66
									10.773	13.285	2.707
									10.876	13.285	2.726
									10.878	13.285	2.792
									10.878	13.285	2.818
									10.934	13.285	2.929
									10.942	13.334	3.007
									10.982	13.334	3.044
									11.102	13.334	3.09
									11.111	13.334	3.118
									11.131	13.345	3.187
									11.198	13.361	3.188
									11.201	13.372	3.188
									11.208	13.372	3.193
									11.229	13.39	3.212
									11.245	13.39	3.351
									11.3	13.39	3.464
									11.318	13.39	3.478
									11.365	13.39	3.643
									11.366	13.401	3.73
									11.404	13.421	3.73
									11.482	13.421	3.833
									11.482	13.421	3.932
									11.54	13.446	3.932
									11.542	13.446	3.954
									11.611	13.446	4.158
									11.666	13.446	4.167
									11.697	13.446	4.197
									11.706	13.446	4.243
									11.726	13.45	4.246
									11.811	13.45	4.28
									11.811	13.45	4.281
									11.837	13.45	4.313
									11.894	13.45	4.334
									11.916	13.45	4.38
									11.926	13.45	4.411
									11.957	13.45	4.44
									11.99	13.495	4.478
									12.065	13.495	4.48
									12.137	13.495	4.517
									12.169	13.506	4.656
									12.197	13.506	4.656
									12.203	13.506	4.656
									12.477	13.506	4.656
									12.485	13.506	4.656
									12.485	13.506	4.656
									12.502	13.515	4.656
									12.547	13.551	4.732
									12.561	13.562	4.732
									12.576	13.562	4.907
									12.587	13.562	4.909
									12.607	13.611	4.909
									12.614	13.611	5.026
									12.628	13.611	5.046
									12.64	13.611	5.058
									12.658	13.611	5.2
									12.658	13.611	5.22
									12.658	13.611	5.353
									12.658	13.611	5.474
									12.749	13.611	5.565
									12.77	13.643	5.571
									12.771	13.667	5.571
									12.869	13.667	5.578
									12.938	13.667	5.578
									13.128	15.064	5.733
									13.152	15.652	5.733
									13.158	16.488	5.974
									13.173		5.997
									13.2		6.011
									13.229		6.011
									13.246		6.072
									13.285		6.174
									13.285		6.445
									13.285		6.481
									13.316		6.67
									13.323		6.713
									13.325		6.748
									13.372		6.748
									13.372		6.921
									13.372		7.023
									13.387		7.023
									13.39		7.076
									13.392		7.374
									13.401		7.423
									13.401		7.423
									13.401		7.423
									13.401		7.711
									13.401		7.786
									13.401		7.871
									13.401		7.991
									13.401		8.184
									13.401		8.184
									13.401		8.421
									13.401		8.476
									13.401		8.648
									13.401		8.648
									13.401		8.67
									13.401		8.725
									13.401		8.981
									13.424		8.982
									13.506		8.982
									13.506		9.241
									13.506		9.27
									13.551		9.274
									13.562		9.453
									13.599		9.49
									13.667		9.677
									13.779		9.677
									13.89		9.768
									13.891		9.776
									13.916		9.777
									13.919		9.924
									13.978		10.191
									14.072		10.296
									14.125		10.459
									14.175		10.697
									14.211		10.713
									14.302		10.777
									14.35		10.848
									14.359		10.872
									14.418		10.884
									14.449		10.928
									14.531		10.969
									14.854		11.001
									15.146		11.039
									15.146		11.04
									15.24		11.078
									15.299		11.103
									15.352		11.124
									15.381		11.144
									15.585		11.167
									15.763		11.172
									15.918		11.18
									16.112		11.18
									16.171		11.212
									16.459		11.249
											11.286
											11.31
											11.312
											11.339
											11.546
											11.557
											11.557
											11.565
											11.668
											11.675
											11.682
											11.772
											11.788
											11.837
											11.842
											11.899
											11.932
											11.955
											11.971
											11.973
											11.973
											11.998
											12.092
											12.128
											12.161
											12.176
											12.176
											12.194
											12.202
											12.202
											12.209
											12.294
											12.297
											12.379
											12.38
											12.384
											12.412
											12.432
											12.438
											12.441
											12.495
											12.533
											12.563
											12.568
											12.678
											12.695
											12.714
											12.772
											12.781
											12.815
											12.863
											12.863
											12.902
											12.927
											12.965
											12.994
											13.027
											13.116
											13.116
											13.151
											13.156
											13.158
											13.233
											13.302
											13.371
											13.38
											13.439
											13.479
											13.552
											13.552
											13.569
											13.613
											13.628
											13.639
											13.679
											13.688
											13.691
											13.727
											13.752
											13.785
											13.817
											13.847
											13.853
											13.935
											13.966
											14.035
											14.134
											14.163
											14.228
											14.248
											14.339
											14.37
											14.387
											14.39
											14.407
											14.409
											14.445
											14.452
											14.454
											14.457
											14.512
											14.554
											14.577
											14.698
											14.765
											14.765
											14.797
											14.859
											14.954
											14.959
											15.152
											15.181
											15.21
											15.236
											15.276
											15.276
											15.657
											15.707
											15.712
											11.944

